timestamp,game_id,event,level_logged,current_level,attempts_so_far,restart_attempts,total_bricks_destroyed,total_paddle_hits,points_curr,total_points
2025-04-29 18:56:19,0,training_run_ep 500,-,1,501,0,365,354,0,395
2025-04-29 18:56:27,0,training_run_ep 1000,-,1,1001,0,784,785,0,850
2025-04-29 18:56:44,0,training_run_ep 1500,-,1,1501,0,1566,1521,0,1707
2025-04-29 18:56:50,0,level_complete,1,1,1671,0,1940,1891,29,2118
2025-04-29 18:57:06,0,training_run_ep 2000,-,1,2001,0,2684,2621,0,2978
2025-04-29 18:57:27,0,training_run_ep 2500,-,1,2501,0,3891,3773,0,4367
2025-04-29 18:57:41,0,training_run_ep 3000,-,1,3001,0,4727,4549,0,5309
2025-04-29 18:58:03,0,training_run_ep 3500,-,1,3501,0,6194,5915,0,7071
2025-04-29 18:58:16,0,level_complete,2,1,3741,0,7056,6729,29,8106
2025-04-29 18:58:26,0,level_complete,3,1,3873,0,7808,7516,32,9038
2025-04-29 18:58:36,0,training_run_ep 4000,-,1,4001,0,8484,8163,0,9860
2025-04-29 18:58:40,0,level_complete,4,1,4047,0,8817,8469,35,10267
2025-04-29 18:58:41,0,level_complete,5,1,4049,0,8870,8562,33,10338
2025-04-29 18:58:41,0,level_complete,6,1,4052,0,8909,8604,36,10386
2025-04-29 18:58:44,0,level_complete,7,1,4078,0,9112,8825,33,10623
2025-04-29 18:58:53,0,level_complete,8,1,4209,0,9912,9569,36,11597
2025-04-29 18:58:54,0,level_complete,9,1,4213,0,9981,9640,29,11690
2025-04-29 18:59:09,0,level_complete,10,1,4475,0,11205,10808,41,13240
2025-04-29 18:59:11,0,training_run_ep 4500,-,1,4501,0,11308,10906,0,13357
2025-04-29 18:59:33,0,training_run_ep 5000,-,1,5001,0,12633,12239,0,14931
2025-04-29 18:59:51,0,training_run_ep 5500,-,1,5501,0,13532,13095,0,15960
2025-04-29 19:00:07,0,level_complete,11,1,5836,0,14560,14268,30,17151
2025-04-29 19:00:17,0,level_complete,12,1,5984,0,15210,15035,37,17923
2025-04-29 19:00:19,0,training_run_ep 6000,-,1,6001,0,15346,15155,0,18092
2025-04-29 19:01:37,0,level_complete,13,1,6058,0,15764,22024,36,18605
2025-04-29 19:01:54,0,level_complete,14,1,6356,0,17186,23382,31,20301
2025-04-29 19:02:41,0,level_complete,15,1,6364,0,17265,28349,29,20391
2025-04-29 19:02:42,0,level_complete,16,1,6388,0,17383,28476,39,20538
2025-04-29 19:02:44,0,level_complete,17,1,6425,0,17542,28645,41,20733
2025-04-29 19:02:48,0,training_run_ep 6500,-,1,6501,0,17752,28846,0,20970
2025-04-29 19:02:50,0,level_complete,18,1,6523,0,17861,28964,31,21103
2025-04-29 19:02:59,0,level_complete,19,1,6755,0,18518,29608,31,21859
2025-04-29 19:03:09,0,training_run_ep 7000,-,1,7001,0,19274,30437,0,22740
2025-04-29 19:03:30,0,level_complete,20,1,7478,0,20997,32164,33,24762
2025-04-29 19:03:31,0,level_complete,21,1,7491,0,21082,32241,37,24878
2025-04-29 19:03:32,0,training_run_ep 7500,-,1,7501,0,21096,32254,0,24893
2025-04-29 19:03:55,0,training_run_ep 8000,-,1,8001,0,23089,34323,0,27290
2025-04-29 19:03:55,0,level_complete,22,1,8004,0,23124,34358,35,27334
2025-04-29 19:04:15,0,training_run_ep 8500,-,1,8501,0,24555,35935,0,28991
2025-04-29 19:04:35,0,training_run_ep 9000,-,1,9001,0,25938,37263,0,30591
2025-04-29 19:04:42,0,level_complete,23,1,9169,0,26575,37877,39,31365
2025-04-29 19:04:44,0,level_complete,24,1,9204,0,26812,38104,31,31652
2025-04-29 19:04:45,0,level_complete,25,1,9215,0,26901,38190,33,31764
2025-04-29 19:04:50,0,level_complete,26,1,9302,0,27335,38594,43,32291
2025-04-29 19:05:01,0,level_complete,27,1,9478,0,28223,39566,31,33335
2025-04-29 19:05:02,0,training_run_ep 9500,-,1,9501,0,28331,39661,0,33474
2025-04-29 19:05:17,0,level_complete,28,1,9741,0,29525,40950,33,34899
2025-04-29 19:05:32,0,training_run_ep 10000,-,1,10001,0,30534,42196,0,36091
2025-04-29 19:05:41,0,level_complete,29,1,10210,0,31293,42934,30,36989
2025-04-29 19:05:44,0,level_complete,30,1,10270,0,31552,43199,36,37297
2025-04-29 19:05:56,0,training_run_ep 10500,-,1,10501,0,32355,44025,0,38251
2025-04-29 19:05:58,0,level_complete,31,1,10573,0,32550,44226,39,38475
2025-04-29 19:06:03,0,level_complete,32,1,10650,0,32863,44526,34,38859
2025-04-29 19:06:52,0,level_complete,33,1,10990,0,34036,49241,36,40243
2025-04-29 19:06:52,0,training_run_ep 11000,-,1,11001,0,34063,49267,0,40271
2025-04-29 19:07:38,0,level_complete,34,1,11144,0,34745,53586,30,41112
2025-04-29 19:07:43,0,level_complete,35,1,11199,0,35146,53955,31,41610
2025-04-29 19:07:46,0,level_complete,36,1,11236,0,35362,54190,30,41853
2025-04-29 19:07:46,0,level_complete,37,1,11238,0,35392,54224,37,41893
2025-04-29 19:07:49,0,level_complete,38,1,11267,0,35726,54548,33,42294
2025-04-29 19:07:50,0,level_complete,39,1,11269,0,35754,54591,32,42327
2025-04-29 19:07:59,0,level_complete,40,1,11439,0,36530,55328,29,43265
2025-04-29 19:08:00,0,level_complete,41,1,11444,0,36570,55365,38,43319
2025-04-29 19:08:01,0,level_complete,42,1,11467,0,36705,55492,38,43486
2025-04-29 19:08:03,0,training_run_ep 11500,-,1,11501,0,36913,55673,0,43749
2025-04-29 19:08:04,0,level_complete,43,1,11504,0,36966,55732,40,43818
2025-04-29 19:08:05,0,level_complete,44,1,11513,0,37043,55814,30,43900
2025-04-29 19:08:11,0,level_complete,45,1,11584,0,37578,56401,35,44530
2025-04-29 19:08:35,0,level_complete,46,1,11991,0,39373,58283,37,46698
2025-04-29 19:08:36,0,training_run_ep 12000,-,1,12001,0,39438,58345,0,46779
2025-04-29 19:09:02,0,training_run_ep 12500,-,1,12501,0,41257,60395,0,48920
2025-04-29 19:10:26,0,training_run_ep 13000,-,1,13001,0,42767,68290,0,50692
2025-04-29 19:11:58,0,training_run_ep 13500,-,1,13501,0,44179,77028,0,52359
2025-04-29 19:12:01,0,level_complete,47,1,13557,0,44387,77236,33,52623
2025-04-29 19:12:02,0,level_complete,48,1,13590,0,44553,77385,30,52821
2025-04-29 19:12:11,0,level_complete,49,1,13802,0,45342,78090,38,53800
2025-04-29 19:12:15,0,level_complete,50,1,13869,0,45645,78407,33,54171
2025-04-29 19:12:23,0,training_run_ep 14000,-,1,14001,0,46283,79025,0,54915
2025-04-29 19:12:25,0,level_complete,51,1,14036,0,46494,79249,30,55158
2025-04-29 19:12:29,0,level_complete,52,1,14109,0,46821,79549,31,55550
2025-04-29 19:12:48,0,training_run_ep 14500,-,1,14501,0,48383,81064,0,57403
2025-04-29 19:13:06,0,level_complete,53,1,14875,0,50009,82701,32,59316
2025-04-29 19:13:07,0,level_complete,54,1,14887,0,50097,82816,30,59419
2025-04-29 19:13:11,0,level_complete,55,1,14925,0,50390,83119,35,59773
2025-04-29 19:13:13,0,level_complete,56,1,14941,0,50506,83314,30,59917
2025-04-29 19:13:18,0,training_run_ep 15000,-,1,15001,0,50889,83712,0,60368
2025-04-29 19:13:18,0,level_complete,57,1,15008,0,50946,83787,32,60436
2025-04-29 19:13:25,0,level_complete,58,1,15059,0,51214,84350,44,60758
2025-04-29 19:13:27,0,level_complete,59,1,15096,0,51329,84459,34,60893
2025-04-29 19:13:31,0,level_complete,60,1,15154,0,51562,84665,32,61179
2025-04-29 19:13:33,0,level_complete,61,1,15168,0,51622,84778,34,61248
2025-04-29 19:13:33,0,level_complete,62,1,15170,0,51649,84806,36,61284
2025-04-29 19:13:37,0,level_complete,63,1,15207,0,51894,85067,35,61569
2025-04-29 19:13:42,0,level_complete,64,1,15254,0,52184,85362,34,61910
2025-04-29 19:13:46,0,level_complete,65,1,15312,0,52488,85757,37,62290
2025-04-29 19:14:40,0,level_complete,66,1,15355,0,52733,91849,32,62610
2025-04-29 19:14:40,0,level_complete,67,1,15367,0,52792,91905,29,62678
2025-04-29 19:14:41,0,level_complete,68,1,15377,0,52863,91995,28,62760
2025-04-29 19:14:46,0,training_run_ep 15500,-,1,15501,0,53334,92426,0,63327
2025-04-29 19:14:54,0,level_complete,69,1,15665,0,53984,93086,33,64093
2025-04-29 19:15:06,0,level_complete,70,1,15893,0,55008,94076,33,65307
2025-04-29 19:15:11,0,training_run_ep 16000,-,1,16001,0,55358,94422,0,65704
2025-04-29 19:15:32,0,training_run_ep 16500,-,1,16501,0,56851,95783,0,67443
2025-04-29 19:15:52,0,level_complete,71,1,16891,0,58199,97386,33,69017
2025-04-29 19:15:53,0,level_complete,72,1,16896,0,58257,97462,33,69085
2025-04-29 19:15:54,0,level_complete,73,1,16908,0,58345,97550,35,69186
2025-04-29 19:15:55,0,level_complete,74,1,16915,0,58412,97631,29,69261
2025-04-29 19:15:56,0,level_complete,75,1,16926,0,58492,97732,34,69355
2025-04-29 19:15:58,0,level_complete,76,1,16952,0,58685,97932,30,69593
2025-04-29 19:15:59,0,level_complete,77,1,16957,0,58752,98027,32,69676
2025-04-29 19:16:02,0,training_run_ep 17000,-,1,17001,0,58958,98222,0,69914
2025-04-29 19:16:06,0,level_complete,78,1,17060,0,59164,98442,38,70156
2025-04-29 19:16:18,0,level_complete,79,1,17278,0,60121,99396,29,71260
2025-04-29 19:16:22,0,level_complete,80,1,17354,0,60464,99741,30,71653
2025-04-29 19:16:23,0,level_complete,81,1,17372,0,60567,99854,35,71789
2025-04-29 19:16:24,0,level_complete,82,1,17389,0,60672,99969,29,71909
2025-04-29 19:16:31,0,level_complete,83,1,17485,0,61249,100554,40,72643
2025-04-29 19:16:33,0,training_run_ep 17500,-,1,17501,0,61367,100669,0,72794
2025-04-29 19:16:35,0,level_complete,84,1,17513,0,61496,100854,30,72955
2025-04-29 19:16:35,0,level_complete,85,1,17521,0,61580,100937,33,73058
2025-04-29 19:16:36,0,level_complete,86,1,17527,0,61631,100992,33,73121
2025-04-29 19:16:36,0,level_complete,87,1,17528,0,61658,101017,36,73157
2025-04-29 19:16:37,0,level_complete,88,1,17538,0,61726,101085,34,73236
2025-04-29 19:16:38,0,level_complete,89,1,17543,0,61762,101124,34,73280
2025-04-29 19:16:41,0,level_complete,90,1,17575,0,62001,101423,33,73575
2025-04-29 19:16:42,0,level_complete,91,1,17586,0,62101,101518,32,73713
2025-04-29 19:16:44,0,level_complete,92,1,17607,0,62285,101749,35,73933
2025-04-29 19:16:45,0,level_complete,93,1,17618,0,62386,101864,33,74051
2025-04-29 19:16:46,0,level_complete,94,1,17630,0,62458,101947,29,74136
2025-04-29 19:16:47,0,level_complete,95,1,17631,0,62485,101983,35,74171
2025-04-29 19:16:47,0,level_complete,96,1,17632,0,62512,102007,35,74206
2025-04-29 19:16:49,0,level_complete,97,1,17662,0,62781,102272,37,74531
2025-04-29 19:16:50,0,level_complete,98,1,17673,0,62860,102370,33,74626
2025-04-29 19:16:57,0,level_complete,99,1,17751,0,63314,102956,32,75184
2025-04-29 19:16:59,0,level_complete,100,1,17792,0,63583,103211,36,75532
2025-04-29 19:17:00,0,level_complete,101,1,17798,0,63633,103266,37,75595
2025-04-29 19:17:12,0,level_complete,102,1,17824,0,63878,104515,30,75885
2025-04-29 19:17:13,0,level_complete,103,1,17837,0,63966,104608,34,75998
2025-04-29 19:17:22,0,level_complete,104,1,17967,0,64761,105447,36,76977
2025-04-29 19:17:26,0,training_run_ep 18000,-,1,18001,0,65022,105803,0,77290
2025-04-29 19:17:28,0,level_complete,105,1,18029,0,65163,105947,35,77462
2025-04-29 19:17:37,0,level_complete,106,1,18151,0,65925,106714,35,78388
2025-04-29 19:17:39,0,level_complete,107,1,18180,0,66067,106879,45,78579
2025-04-29 19:17:39,0,level_complete,108,1,18189,0,66125,106947,30,78647
2025-04-29 19:17:41,0,level_complete,109,1,18216,0,66264,107079,35,78820
2025-04-29 19:17:42,0,level_complete,110,1,18235,0,66374,107178,31,78956
2025-04-29 19:17:44,0,level_complete,111,1,18263,0,66562,107351,34,79185
2025-04-29 19:17:46,0,level_complete,112,1,18282,0,66660,107506,32,79300
2025-04-29 19:17:47,0,level_complete,113,1,18301,0,66762,107603,38,79429
2025-04-29 19:19:14,0,level_complete,114,1,18360,0,67025,116549,35,79741
2025-04-29 19:19:16,0,level_complete,115,1,18397,0,67230,116772,33,79985
2025-04-29 19:19:17,0,level_complete,116,1,18404,0,67280,116830,29,80037
2025-04-29 19:19:20,0,level_complete,117,1,18455,0,67550,117095,36,80365
2025-04-29 19:19:21,0,level_complete,118,1,18464,0,67595,117156,31,80417
2025-04-29 19:19:24,0,training_run_ep 18500,-,1,18501,0,67836,117381,0,80733
2025-04-29 19:19:25,0,level_complete,119,1,18520,0,67947,117483,30,80870
2025-04-29 19:19:29,0,level_complete,120,1,18579,0,68288,117808,33,81290
2025-04-29 19:19:32,0,level_complete,121,1,18612,0,68513,118004,34,81582
2025-04-29 19:19:33,0,level_complete,122,1,18613,0,68540,118056,32,81614
2025-04-29 19:19:51,0,level_complete,123,1,18635,0,68708,119984,33,81823
2025-04-29 19:19:52,0,level_complete,124,1,18650,0,68797,120071,35,81938
2025-04-29 19:19:54,0,level_complete,125,1,18661,0,68907,120248,31,82062
2025-04-29 19:20:00,0,level_complete,126,1,18785,0,69467,120830,33,82758
2025-04-29 19:20:04,0,level_complete,127,1,18852,0,69721,121134,36,83058
2025-04-29 19:20:15,0,level_complete,128,1,18943,0,70227,122317,54,83730
2025-04-29 19:20:16,0,level_complete,129,1,18954,0,70285,122383,30,83794
2025-04-29 19:20:19,0,training_run_ep 19000,-,1,19001,0,70530,122618,0,84082
2025-04-29 19:20:20,0,level_complete,130,1,19012,0,70618,122715,33,84194
2025-04-29 19:20:25,0,level_complete,131,1,19110,0,70982,123057,33,84633
2025-04-29 19:20:27,0,level_complete,132,1,19156,0,71150,123239,32,84823
2025-04-29 19:20:30,0,level_complete,133,1,19198,0,71370,123468,34,85089
2025-04-29 19:20:44,0,level_complete,134,1,19432,0,72329,124598,32,86242
2025-04-29 19:20:49,0,training_run_ep 19500,-,1,19501,0,72615,124932,0,86583
2025-04-29 19:20:53,0,level_complete,135,1,19557,0,72862,125173,34,86877
2025-04-29 19:20:57,0,level_complete,136,1,19600,0,73150,125508,44,87239
2025-04-29 19:21:00,0,level_complete,137,1,19636,0,73291,125646,31,87414
2025-04-29 19:21:02,0,level_complete,138,1,19652,0,73387,125732,32,87528
2025-04-29 19:21:02,0,level_complete,139,1,19656,0,73433,125800,31,87580
2025-04-29 19:21:03,0,level_complete,140,1,19664,0,73501,125864,36,87664
2025-04-29 19:21:04,0,level_complete,141,1,19671,0,73554,125922,39,87734
2025-04-29 19:21:09,0,level_complete,142,1,19719,0,73870,126251,35,88128
2025-04-29 19:21:11,0,level_complete,143,1,19724,0,73911,126351,33,88178
2025-04-29 19:21:12,0,level_complete,144,1,19741,0,74024,126460,33,88330
2025-04-29 19:21:12,0,level_complete,145,1,19745,0,74063,126497,45,88388
2025-04-29 19:21:13,0,level_complete,146,1,19755,0,74111,126566,30,88446
2025-04-29 19:21:14,0,level_complete,147,1,19756,0,74138,126603,31,88477
2025-04-29 19:21:14,0,level_complete,148,1,19757,0,74165,126631,33,88510
2025-04-29 19:21:18,0,level_complete,149,1,19805,0,74475,127034,31,88889
2025-04-29 19:21:19,0,level_complete,150,1,19806,0,74502,127073,37,88926
2025-04-29 19:21:19,0,level_complete,151,1,19810,0,74551,127119,42,88999
2025-04-29 19:21:20,0,level_complete,152,1,19827,0,74624,127208,41,89091
2025-04-29 19:21:21,0,level_complete,153,1,19828,0,74651,127246,32,89123
2025-04-29 19:21:22,0,level_complete,154,1,19848,0,74778,127364,35,89276
2025-04-29 19:21:22,0,level_complete,155,1,19854,0,74830,127414,45,89357
2025-04-29 19:21:31,0,level_complete,156,1,20000,0,75544,128134,35,90215
2025-04-29 19:21:32,0,training_run_ep 20000,-,1,20001,0,75549,128138,0,90221
2025-04-29 19:21:32,0,level_complete,157,1,20008,0,75594,128183,31,90273
2025-04-29 19:21:54,0,training_run_ep 20500,-,1,20501,0,77112,129707,0,92037
2025-04-29 19:22:09,0,level_complete,158,1,20790,0,77989,130819,37,93047
2025-04-29 19:22:23,0,training_run_ep 21000,-,1,21001,0,78556,132009,0,93726
2025-04-29 19:22:38,0,level_complete,159,1,21301,0,79982,133410,37,95481
2025-04-29 19:22:40,0,level_complete,160,1,21317,0,80136,133589,33,95661
2025-04-29 19:22:41,0,level_complete,161,1,21320,0,80188,133640,30,95720
2025-04-29 19:22:41,0,level_complete,162,1,21321,0,80215,133667,41,95761
2025-04-29 19:22:42,0,level_complete,163,1,21327,0,80303,133777,35,95863
2025-04-29 19:23:16,0,level_complete,164,1,21342,0,80434,137323,43,96027
2025-04-29 19:23:17,0,level_complete,165,1,21352,0,80525,137422,36,96153
2025-04-29 19:23:18,0,level_complete,166,1,21354,0,80554,137459,38,96193
2025-04-29 19:23:22,0,level_complete,167,1,21404,0,80936,137811,35,96686
2025-04-29 19:23:24,0,level_complete,168,1,21416,0,81116,138000,33,96927
2025-04-29 19:23:25,0,level_complete,169,1,21423,0,81222,138107,34,97054
2025-04-29 19:23:26,0,level_complete,170,1,21431,0,81280,138181,31,97120
2025-04-29 19:23:27,0,level_complete,171,1,21436,0,81340,138249,37,97193
2025-04-29 19:23:27,0,level_complete,172,1,21437,0,81367,138284,32,97225
2025-04-29 19:23:28,0,level_complete,173,1,21439,0,81396,138322,29,97256
2025-04-29 19:23:28,0,level_complete,174,1,21440,0,81423,138351,52,97308
2025-04-29 19:23:28,0,level_complete,175,1,21442,0,81451,138386,37,97346
2025-04-29 19:23:30,0,level_complete,176,1,21446,0,81529,138518,29,97438
2025-04-29 19:23:30,0,level_complete,177,1,21447,0,81556,138556,30,97468
2025-04-29 19:23:31,0,level_complete,178,1,21449,0,81599,138601,32,97519
2025-04-29 19:23:31,0,level_complete,179,1,21451,0,81631,138631,39,97564
2025-04-29 19:24:42,0,level_complete,180,1,21464,0,81771,145794,33,97740
2025-04-29 19:24:45,0,training_run_ep 21500,-,1,21501,0,82004,146012,0,98016
2025-04-29 19:24:49,0,level_complete,181,1,21566,0,82338,146340,32,98426
2025-04-29 19:24:51,0,level_complete,182,1,21588,0,82521,146526,31,98645
2025-04-29 19:24:53,0,level_complete,183,1,21601,0,82646,146664,31,98798
2025-04-29 19:24:54,0,level_complete,184,1,21617,0,82769,146787,36,98944
2025-04-29 19:24:58,0,level_complete,185,1,21652,0,83075,147111,29,99312
2025-04-29 19:25:04,0,level_complete,186,1,21741,0,83682,147737,39,100063
2025-04-29 19:25:06,0,level_complete,187,1,21756,0,83833,147891,32,100245
2025-04-29 19:25:07,0,level_complete,188,1,21768,0,83930,148041,39,100364
2025-04-29 19:25:08,0,level_complete,189,1,21778,0,84035,148146,30,100488
2025-04-29 19:25:09,0,level_complete,190,1,21780,0,84076,148203,36,100539
2025-04-29 19:25:10,0,level_complete,191,1,21787,0,84156,148272,39,100643
2025-04-29 19:25:10,0,level_complete,192,1,21788,0,84183,148313,35,100678
2025-04-29 19:25:10,0,level_complete,193,1,21789,0,84210,148351,29,100707
2025-04-29 19:25:11,0,level_complete,194,1,21791,0,84244,148385,36,100751
2025-04-29 19:25:12,0,level_complete,195,1,21803,0,84390,148522,32,100940
2025-04-29 19:25:13,0,level_complete,196,1,21809,0,84453,148586,36,101017
2025-04-29 19:25:15,0,level_complete,197,1,21831,0,84664,148813,41,101300
2025-04-29 19:25:45,0,level_complete,198,1,21870,0,84967,151891,32,101683
2025-04-29 19:25:49,0,level_complete,199,1,21928,0,85291,152234,28,102067
2025-04-29 19:25:50,0,level_complete,200,1,21933,0,85328,152342,33,102110
2025-04-29 19:25:51,0,level_complete,201,1,21943,0,85435,152467,33,102237
2025-04-29 19:25:53,0,level_complete,202,1,21977,0,85585,152609,36,102429
2025-04-29 19:25:55,0,training_run_ep 22000,-,1,22001,0,85715,152719,0,102589
2025-04-29 19:26:00,0,level_complete,203,1,22094,0,86220,153183,39,103192
2025-04-29 19:26:04,0,level_complete,204,1,22158,0,86476,153443,35,103510
2025-04-29 19:26:16,0,level_complete,205,1,22385,0,87419,154388,30,104677
2025-04-29 19:26:18,0,level_complete,206,1,22430,0,87624,154621,29,104909
2025-04-29 19:26:20,0,level_complete,207,1,22457,0,87764,154792,32,105078
2025-04-29 19:26:22,0,level_complete,208,1,22491,0,87952,154987,33,105293
2025-04-29 19:26:24,0,training_run_ep 22500,-,1,22501,0,88029,155066,0,105385
2025-04-29 19:26:37,0,level_complete,209,1,22757,0,89124,156131,29,106716
2025-04-29 19:26:41,0,level_complete,210,1,22816,0,89432,156454,41,107097
2025-04-29 19:26:42,0,level_complete,211,1,22829,0,89509,156529,37,107197
2025-04-29 19:26:44,0,level_complete,212,1,22883,0,89721,156736,33,107437
2025-04-29 19:26:49,0,level_complete,213,1,22972,0,90095,157113,31,107878
2025-04-29 19:26:50,0,level_complete,214,1,22986,0,90232,157258,36,108045
2025-04-29 19:26:51,0,training_run_ep 23000,-,1,23001,0,90283,157303,0,108102
2025-04-29 19:26:53,0,level_complete,215,1,23029,0,90393,157404,42,108249
2025-04-29 19:27:06,0,level_complete,216,1,23296,0,91495,158514,33,109498
2025-04-29 19:27:10,0,level_complete,217,1,23378,0,91895,158897,30,109965
2025-04-29 19:27:19,0,training_run_ep 23500,-,1,23501,0,92474,159568,0,110653
2025-04-29 19:27:20,0,level_complete,218,1,23512,0,92550,159652,34,110747
2025-04-29 19:27:24,0,level_complete,219,1,23568,0,92909,160037,36,111195
2025-04-29 19:27:25,0,level_complete,220,1,23572,0,92940,160074,34,111233
2025-04-29 19:27:39,0,level_complete,221,1,23819,0,94215,161294,33,112789
2025-04-29 19:27:48,0,level_complete,222,1,23921,0,94973,162099,30,113689
2025-04-29 19:27:51,0,level_complete,223,1,23960,0,95340,162457,33,114122
2025-04-29 19:27:56,0,training_run_ep 24000,-,1,24001,0,95659,162811,0,114508
2025-04-29 19:28:04,0,level_complete,224,1,24114,0,96392,163533,30,115434
2025-04-29 19:28:11,0,level_complete,225,1,24204,0,96944,164187,40,116108
2025-04-29 19:28:15,0,level_complete,226,1,24242,0,97234,164657,30,116474
2025-04-29 19:28:19,0,level_complete,227,1,24288,0,97542,164958,30,116842
2025-04-29 19:28:19,0,level_complete,228,1,24293,0,97588,165006,43,116908
2025-04-29 19:28:30,0,level_complete,229,1,24431,0,98318,166019,31,117766
2025-04-29 19:28:31,0,level_complete,230,1,24441,0,98402,166115,32,117869
2025-04-29 19:28:32,0,level_complete,231,1,24460,0,98523,166262,32,118011
2025-04-29 19:28:34,0,level_complete,232,1,24471,0,98635,166389,31,118143
2025-04-29 19:28:34,0,level_complete,233,1,24476,0,98712,166470,34,118253
2025-04-29 19:28:36,0,level_complete,234,1,24493,0,98842,166593,38,118412
2025-04-29 19:28:37,0,training_run_ep 24500,-,1,24501,0,98906,166647,0,118491
2025-04-29 19:28:41,0,level_complete,235,1,24571,0,99352,167083,36,119056
2025-04-29 19:28:43,0,level_complete,236,1,24590,0,99528,167259,35,119278
2025-04-29 19:28:46,0,level_complete,237,1,24641,0,99789,167531,34,119595
2025-04-29 19:28:50,0,level_complete,238,1,24685,0,100041,167855,39,119903
2025-04-29 19:28:51,0,level_complete,239,1,24705,0,100141,167946,38,120019
2025-04-29 19:28:52,0,level_complete,240,1,24708,0,100197,168028,43,120095
2025-04-29 19:29:02,0,level_complete,241,1,24807,0,100824,169044,36,120864
2025-04-29 19:29:05,0,level_complete,242,1,24815,0,100868,169316,39,120920
2025-04-29 19:29:07,0,level_complete,243,1,24817,0,100900,169539,35,120960
2025-04-29 19:29:10,0,level_complete,244,1,24844,0,101185,169853,29,121303
2025-04-29 19:29:10,0,level_complete,245,1,24846,0,101213,169887,40,121344
2025-04-29 19:29:12,0,level_complete,246,1,24861,0,101325,170026,33,121489
2025-04-29 19:29:12,0,level_complete,247,1,24864,0,101366,170092,29,121533
2025-04-29 19:29:15,0,level_complete,248,1,24916,0,101661,170365,36,121885
2025-04-29 19:29:17,0,level_complete,249,1,24934,0,101743,170455,35,121987
2025-04-29 19:29:18,0,level_complete,250,1,24964,0,101863,170566,47,122139
2025-04-29 19:29:19,0,level_complete,251,1,24967,0,101897,170605,39,122185
2025-04-29 19:29:21,0,training_run_ep 25000,-,1,25001,0,102023,170721,0,122331
2025-04-29 19:29:21,0,level_complete,252,1,25003,0,102056,170752,39,122377
2025-04-29 19:30:37,0,level_complete,253,1,25189,0,102734,178496,34,123181
2025-04-29 19:30:51,0,training_run_ep 25500,-,1,25501,0,103795,179572,0,124409
2025-04-29 19:31:11,0,level_complete,254,1,25928,0,105274,181114,34,126166
2025-04-29 19:31:15,0,training_run_ep 26000,-,1,26001,0,105599,181405,0,126572
2025-04-29 19:31:23,0,level_complete,255,1,26199,0,106197,181997,32,127279
2025-04-29 19:31:29,0,level_complete,256,1,26290,0,106737,182610,31,127917
2025-04-29 19:31:30,0,level_complete,257,1,26295,0,106812,182718,29,127999
2025-04-29 19:33:16,0,level_complete,258,1,26424,0,107329,193555,30,128616
2025-04-29 19:33:18,0,level_complete,259,1,26454,0,107515,193737,37,128833
2025-04-29 19:33:20,0,level_complete,260,1,26491,0,107731,193944,32,129083
2025-04-29 19:33:21,0,training_run_ep 26500,-,1,26501,0,107781,193984,0,129147
2025-04-29 19:33:25,0,level_complete,261,1,26575,0,108163,194355,36,129623
2025-04-29 19:33:30,0,level_complete,262,1,26623,0,108505,194716,35,130027
2025-04-29 19:33:32,0,level_complete,263,1,26650,0,108704,194908,30,130276
2025-04-29 19:33:33,0,level_complete,264,1,26666,0,108787,194983,32,130376
2025-04-29 19:33:45,0,level_complete,265,1,26876,0,109904,196091,36,131741
2025-04-29 19:33:47,0,level_complete,266,1,26901,0,110030,196221,34,131889
2025-04-29 19:33:49,0,level_complete,267,1,26926,0,110198,196396,30,132099
2025-04-29 19:33:53,0,level_complete,268,1,26987,0,110539,196756,34,132502
2025-04-29 19:33:54,0,training_run_ep 27000,-,1,27001,0,110600,196812,0,132581
2025-04-29 19:33:58,0,level_complete,269,1,27085,0,110953,197141,33,133010
2025-04-29 19:34:01,0,level_complete,270,1,27157,0,111274,197444,30,133391
2025-04-29 19:34:06,0,level_complete,271,1,27252,0,111667,197826,35,133860
2025-04-29 19:34:07,0,level_complete,272,1,27273,0,111787,197940,31,134001
2025-04-29 19:34:10,0,level_complete,273,1,27341,0,112051,198203,31,134304
2025-04-29 19:34:18,0,training_run_ep 27500,-,1,27501,0,112699,198908,0,135064
2025-04-29 19:34:32,0,level_complete,274,1,27762,0,113928,200102,32,136538
2025-04-29 19:34:43,0,training_run_ep 28000,-,1,28001,0,114815,200922,0,137580
2025-04-29 19:34:45,0,level_complete,275,1,28014,0,114913,201060,33,137698
2025-04-29 19:34:59,0,level_complete,276,1,28332,0,116076,202165,36,139095
2025-04-29 19:35:00,0,level_complete,277,1,28355,0,116218,202302,34,139263
2025-04-29 19:35:07,0,training_run_ep 28500,-,1,28501,0,116740,202788,0,139895
2025-04-29 19:35:09,0,level_complete,278,1,28535,0,116856,202911,35,140027
2025-04-29 19:35:18,0,level_complete,279,1,28716,0,117664,203675,40,140989
2025-04-29 19:35:27,0,level_complete,280,1,28886,0,118401,204462,28,141862
2025-04-29 19:35:29,0,level_complete,281,1,28925,0,118620,204688,31,142152
2025-04-29 19:35:34,0,training_run_ep 29000,-,1,29001,0,118973,205028,0,142579
2025-04-29 19:35:35,0,level_complete,282,1,29016,0,119060,205115,37,142690
2025-04-29 19:35:47,0,level_complete,283,1,29291,0,119946,205996,37,143734
